REGION;PROVINCIA;DISTRITO;ZONA_SISMICA
LORETO;MARISCAL RAMON CASTILLA;RAMON CASTILLA;1
LORETO;MARISCAL RAMON CASTILLA;PEBAS;1
LORETO;MARISCAL RAMON CASTILLA;SAN PABLO;1
LORETO;MARISCAL RAMON CASTILLA;YAVARI;1
LORETO;MAYNAS;ALTO NANAY;2
LORETO;MAYNAS;BELEN;2
LORETO;MAYNAS;FERNANDO LORES;2
LORETO;MAYNAS;INDIANA;2
LORETO;MAYNAS;IQUITOS;2
LORETO;MAYNAS;LAS AMAZONAS;2
LORETO;MAYNAS;MAZAN;2
LORETO;MAYNAS;NAPO;2
LORETO;MAYNAS;PUNCHANA;2
LORETO;MAYNAS;PUTUMAYO;2
LORETO;MAYNAS;SAN JUAN BAUTISTA;2
LORETO;MAYNAS;TNTE. MANUEL CLAVERO;2
LORETO;MAYNAS;TORRES CAUSANA;2
LORETO;REOUENA;SAOUENA;1
LORETO;REOUENA;REOUENA;1
LORETO;REOUENA;CAPELO;1
LORETO;REOUENA;SOPLIN;1
LORETO;REOUENA;TAPICHE;1
LORETO;REOUENA;JENARO HERRERA;1
LORETO;REOUENA;YAOUERANA;1
LORETO;REOUENA;ALTO TAPICHE;1
LORETO;REOUENA;EMILIO SAN MARTIN;1
LORETO;REOUENA;MAQUIA;1
LORETO;REOUENA;PUINAHUA;1
LORETO;LORETO;NAUTA;2
LORETO;LORETO;PARINARI;2
LORETO;LORETO;TIGRE;2
LORETO;LORETO;TROMPETEROS;2
LORETO;LORETO;URARINAS;2
LORETO;ALTO AMAZONAS;LAGUNAS;2
LORETO;ALTO AMAZONAS;YURIMAGUAS;3
LORETO;ALTO AMAZONAS;BALSAPUERTO;3
LORETO;ALTO AMAZONAS;JEBEROS;3
LORETO;ALTO AMAZONAS;SANTA CRUZ;3
LORETO;ALTO AMAZONAS;TNTE. CESAR LOPEZ ROJAS;3
LORETO;UCAYALI;CONTAMANA;2
LORETO;UCAYALI;INAHUAYA;2
LORETO;UCAYALI;PADRE MAROUEZ;2
LORETO;UCAYALI;PAMPA HERMOSA;2
LORETO;UCAYALI;SARAYACU;2
LORETO;UCAYALI;ALFREDO VARGAS GUERRA;2
LORETO;UCAYALI;YANAYACU;2
LORETO;DATEM DEL MARATON;MANSERICHE;2
LORETO;DATEM DEL MARATON;MORONA;2
LORETO;DATEM DEL MARATON;PASTAZA;2
LORETO;DATEM DEL MARATON;ANDOAS;2
LORETO;DATEM DEL MARATON;BARRANCA;3
LORETO;DATEM DEL MARATON;CAHUAPANAS;3
UCAYALI;PURUS;PURUS;1
UCAYALI;ATALAYA;RAIMONDI;2
UCAYALI;ATALAYA;SEPAHUA;2
UCAYALI;ATALAYA;TAHUANIA;2
UCAYALI;ATALAYA;YURUA;2
UCAYALI;PADRE ABAD;CURIMANA;2
UCAYALI;PADRE ABAD;IRAZOLA;2
UCAYALI;PADRE ABAD;PADRE ABAD;2
UCAYALI;CORONEL PORTILLO;CALLERIA;2
UCAYALI;CORONEL PORTILLO;CAMPOVERDE;2
UCAYALI;CORONEL PORTILLO;IPARIA;2
UCAYALI;CORONEL PORTILLO;MANANTAY;2
UCAYALI;CORONEL PORTILLO;MASISEA;2
UCAYALI;CORONEL PORTILLO;NUEVA REOUENA;2
UCAYALI;CORONEL PORTILLO;YARINACOCHA;2
MADRE DE DIOS;TAMBOPATA;INAMBARI;1
MADRE DE DIOS;TAMBOPATA;LABERINTO;1
MADRE DE DIOS;TAMBOPATA;LAS PIEDRAS;1
MADRE DE DIOS;TAMBOPATA;TAMBOPATA;1
MADRE DE DIOS;TAHUAMANU;IBERIA;1
MADRE DE DIOS;TAHUAMANU;IÑAPARI;1
MADRE DE DIOS;TAHUAMANU;TAHUAMANU;1
MADRE DE DIOS;MANU;FITZCARRALD;2
MADRE DE DIOS;MANU;HUEPETUHE;2
MADRE DE DIOS;MANU;MADRE DE DIOS;2
MADRE DE DIOS;MANU;MANU;2
PUNO;SANDIA;ALTO INAMBARI;1
PUNO;SANDIA;SAN JUAN DEL ORO;1
PUNO;SANDIA;YANAHUAYA;1
PUNO;SANDIA;CUYOCUYO;2
PUNO;SANDIA;LIMBANI;2
PUNO;SANDIA;PATAMBUCO;2
PUNO;SANDIA;PHARA;2
PUNO;SANDIA;QUIACA;2
PUNO;SANDIA;SANPEDRO DE PUTNA PUNCO;2
PUNO;SANDIA;SANDIA;2
PUNO;SAN ANTONIO DE PUTINA;ANANEA;2
PUNO;SAN ANTONIO DE PUTINA;OUILCAPUNCU;2
PUNO;SAN ANTONIO DE PUTINA;SINA;2
PUNO;SAN ANTONIO DE PUTINA;PEDRO VILCA APAZA;2
PUNO;SAN ANTONIO DE PUTINA;PUTINA;2
PUNO;CARABAYA;AYAPATA;2
PUNO;CARABAYA;COASA;2
PUNO;CARABAYA;CRUCERO;2
PUNO;CARABAYA;ITUATA;2
PUNO;CARABAYA;SAN GABAN;2
PUNO;CARABAYA;USICAYOS;2
PUNO;CARABAYA;AJOYANI;2
PUNO;CARABAYA;CORANI;2
PUNO;CARABAYA;MACUSANI;2
PUNO;CARABAYA;OLLACHEA;2
PUNO;HUANCANE;COJATA;2
PUNO;HUANCANE;HUANCANE;2
PUNO;HUANCANE;HUATASANI;2
PUNO;HUANCANE;INCHUPALLA;2
PUNO;HUANCANE;PUSI;2
PUNO;HUANCANE;ROSASPATA;2
PUNO;HUANCANE;TARACO;2
PUNO;HUANCANE;VILQUE CHICO;2
PUNO;MOHO;HUAYRAPATA;2
PUNO;MOHO;MOHO;2
PUNO;MOHO;CONIMA;2
PUNO;MOHO;TILALI;2
PUNO;PUNO;COATA;2
PUNO;PUNO;CAPACHICA;2
PUNO;PUNO;AMANTANI;2
PUNO;PUNO;ACORA;3
PUNO;PUNO;ATUNCOLLA;3
PUNO;PUNO;CHUCUITO;3
PUNO;PUNO;HUATA;3
PUNO;PUNO;MAÑAZO;3
PUNO;PUNO;PAUCARCOLLA;3
PUNO;PUNO;PICHACANI;3
PUNO;PUNO;PLATERIA;3
PUNO;PUNO;PUNO;3
PUNO;PUNO;SAN ANTONIO;3
PUNO;PUNO;TIQUILLACA;3
PUNO;PUNO;VILQUE;3
PUNO;AZANGARO;AZANGARO;2
PUNO;AZANGARO;ACHAYA;2
PUNO;AZANGARO;ARAPA;2
PUNO;AZANGARO;ASILLO;2
PUNO;AZANGARO;CAMINACA;2
PUNO;AZANGARO;CHUPA;2
PUNO;AZANGARO;JOSE DOMINGO CHOQUEHUANCA;2
PUNO;AZANGARO;MUÑANI;2
PUNO;AZANGARO;POTONI;2
PUNO;AZANGARO;SAMAN;2
PUNO;AZANGARO;SAN ANTON;2
PUNO;AZANGARO;SAN JOSE;2
PUNO;AZANGARO;SAN JUAN DE SALINAS;2
PUNO;AZANGARO;SANTIAGO DE PUPUJA;2
PUNO;AZANGARO;TIRAPATA;2
PUNO;CHUCUITO;DESAGUADERO;3
PUNO;CHUCUITO;HUACULLANI;3
PUNO;CHUCUITO;JULI;3
PUNO;CHUCUITO;KELLUYO;3
PUNO;CHUCUITO;PISACOMA;3
PUNO;CHUCUITO;POMATA;3
PUNO;CHUCUITO;ZEPITA;3
PUNO;EL COLLAO;CAPAZO;3
PUNO;EL COLLAO;CONDURIRI;3
PUNO;EL COLLAO;ILAVE;3
PUNO;EL COLLAO;PILCUYO;3
PUNO;EL COLLAO;SANTA ROSA;3
PUNO;LAMPA;CALAPUJA;2
PUNO;LAMPA;NICASIO;2
PUNO;LAMPA;PUCARA;2
PUNO;LAMPA;CABANILLA;3
PUNO;LAMPA;LAMPA;3
PUNO;LAMPA;OCUVIRI;3
PUNO;LAMPA;PALCA;3
PUNO;LAMPA;PARATIA;3
PUNO;LAMPA;SANTA LUCIA;3
